fasta,name,organism,source,accession,genome_assembly
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_039877785.1.fa.gz,fChaTrf1.hap1,Chaetodon trifascialis,VGP,GCF_039877785.1,fChaTrf1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_902362185.1.fa.gz,fChaCha1.1,Chanos chanos,VGP,GCF_902362185.1,fChaCha1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_017976325.1.fa.gz,fCheRos1.pri,Chelmon rostratus,VGP,GCF_017976325.1,fCheRos1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_963514085.1.fa.gz,fCheLab1.1,Chelon labrosus,VGP,GCA_963514085.1,fCheLab1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_015237465.2.fa.gz,rCheMyd1.pri.v2,Chelonia mydas,VGP,GCF_015237465.2,rCheMyd1.pri.v2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_950005125.1.fa.gz,mChiNiv1.1,Chionomys nivalis,VGP,GCF_950005125.1,mChiNiv1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_009829145.1.fa.gz,bChiLan1.pri,Chiroxiphia lanceolata,VGP,GCF_009829145.1,bChiLan1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_036417535.1.fa.gz,bChlMac1.mat,Chlamydotis macqueenii,VGP,GCA_036417535.1,bChlMac1.mat
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_047301625.1.fa.gz,ASM4730162v1,Choerodon schoenleinii,VGP,GCA_047301625.1,ASM4730162v1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_015220235.1.fa.gz,mChoDid1.pri,Choloepus didactylus,VGP,GCF_015220235.1,mChoDid1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_963924245.1.fa.gz,bChrRid1.1,Chroicocephalus ridibundus,VGP,GCF_963924245.1,bChrRid1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_017639555.1.fa.gz,bCicMag1.pri,Ciconia maguari,VGP,GCA_017639555.1,bCicMag1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_963662255.1.fa.gz,bCinCin1.1,Cinclus cinclus,VGP,GCF_963662255.1,bCinCin1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_963989345.1.fa.gz,bClaHye2.1,Clangula hyemalis,VGP,GCA_963989345.1,bClaHye2.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_024256435.1.fa.gz,CGAR_Hap1,Clarias gariepinus,VGP,GCA_024256435.1,CGAR_Hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_947623445.1.fa.gz,kaClaLepa1.1,Clavelina lepadiformis,VGP,GCA_947623445.1,kaClaLepa1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_048544225.1.fa.gz,fCoiMys1.hap2,Coilia mystus,VGP,GCA_048544225.1,fCoiMys1.hap2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_028858725.1.fa.gz,bColStr4.1.hap1,Colius striatus,VGP,GCF_028858725.1,bColStr4.1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_965178545.1.fa.gz,bColMon1.hap1.1,Coloeus monedula,VGP,GCA_965178545.1,bColMon1.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_036013475.1.fa.gz,bColLiv1.pat.W.v2,Columba livia,VGP,GCF_036013475.1,bColLiv1.pat.W.v2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_963514075.1.fa.gz,fConCon1.1,Conger conger,VGP,GCF_963514075.1,fConCon1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964263955.1.fa.gz,fCorLav1.hap1.1,Coregonus lavaretus,VGP,GCA_964263955.1,fCorLav1.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_963082875.1.fa.gz,kaCorEumy4.1,Corella eumyota,VGP,GCA_963082875.1,kaCorEumy4.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_020740725.1.fa.gz,bCorHaw1.pri.cur,Corvus hawaiiensis,VGP,GCF_020740725.1,bCorHaw1.pri.cur
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_009650955.1.fa.gz,bCorMon1.pri,Corvus moneduloides,VGP,GCF_009650955.1,bCorMon1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_900634415.1.fa.gz,fCotGob3.1,Cottoperca gobio,VGP,GCF_900634415.1,fCotGob3.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_049082185.1.fa.gz,fCriAus1.1_haplotype_1,Cristiceps australis,VGP,GCA_049082185.1,fCriAus1.1_haplotype_1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_048771875.1.fa.gz,mCteGun2.hap1,Ctenodactylus gundi,VGP,GCA_048771875.1,mCteGun2.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_017976375.1.fa.gz,bCucCan1.pri,Cuculus canorus,VGP,GCF_017976375.1,bCucCan1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_046129655.1.fa.gz,bCyaCrs1.hap1,Cyanocitta cristata,VGP,GCA_046129655.1,bCyaCrs1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_009769545.1.fa.gz,fCycLum1.pri,Cyclopterus lumpus,VGP,GCF_009769545.1,fCycLum1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_965151615.1.fa.gz,bCygCol1.1,Cygnus columbianus,VGP,GCA_965151615.1,bCygCol1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_009769625.2.fa.gz,bCygOlo1.pri.v2,Cygnus olor,VGP,GCF_009769625.2,bCygOlo1.pri.v2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_027409185.1.fa.gz,mCynVol1.pri,Cynocephalus volans,VGP,GCF_027409185.1,mCynVol1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_038024135.1.fa.gz,fCypVen1.hap2,Cyprinella venusta,VGP,GCA_038024135.1,fCypVen1.hap2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_048126745.1.fa.gz,DamDam1_v1.mat,Dama dama,VGP,GCA_048126745.1,DamDam1_v1.mat
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_944039275.1.fa.gz,fDanRer4.1,Danio rerio,VGP,GCA_944039275.1,fDanRer4.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_030445035.2.fa.gz,mDasNov1.1.hap2,Dasypus novemcinctus,VGP,GCF_030445035.2,mDasNov1.1.hap2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_048593285.1.fa.gz,ASM4859328v1,Dasyurus maculatus,VGP,GCA_048593285.1,ASM4859328v1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_949987515.2.fa.gz,mDelDel1.2,Delphinus delphis,VGP,GCF_949987515.2,mDelDel1.2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_027789765.1.fa.gz,aDenEbr1.pat,Dendropsophus ebraccatus,VGP,GCF_027789765.1,aDenEbr1.pat
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_900700375.2.fa.gz,fDenClu1.2,Denticeps clupeoides,VGP,GCA_900700375.2,fDenClu1.2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_009764565.3.fa.gz,rDerCor1.pri.v4,Dermochelys coriacea,VGP,GCF_009764565.3,rDerCor1.pri.v4
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_022682495.2.fa.gz,HLdesRot8A.1,Desmodus rotundus,VGP,GCA_022682495.2,HLdesRot8A.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_046126795.1.fa.gz,rDibSmi1.hap1,Dibamus cf. smithi,VGP,GCA_046126795.1,rDibSmi1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_020826845.1.fa.gz,mDicBic1.mat.cur,Diceros bicornis minor,VGP,GCF_020826845.1,mDicBic1.mat.cur
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_048569125.1.fa.gz,fDirArg3.hap1,Diretmus argenteus,VGP,GCA_048569125.1,fDirArg3.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_043880285.1.fa.gz,ASM4388028v1,Doryrhina cyclops,VGP,GCA_043880285.1,ASM4388028v1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_016128335.2.fa.gz,ZJU2.0,Dromaius novaehollandiae,VGP,GCA_016128335.2,ZJU2.0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_036370855.1.fa.gz,bDroNov1.hap1,Dromaius novaehollandiae,VGP,GCF_036370855.1,bDroNov1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_019393635.1.fa.gz,mDroGli1.pri,Dromiciops gliroides,VGP,GCF_019393635.1,mDroGli1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_014839835.1.fa.gz,bDryPub1.pri,Dryobates pubescens,VGP,GCF_014839835.1,bDryPub1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_030035585.1.fa.gz,mDugDug1.hap1,Dugong dugon,VGP,GCA_030035585.1,mDugDug1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_900963305.2.fa.gz,fEcheNa1.2,Echeneis naucrates,VGP,GCA_900963305.2,fEcheNa1.2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_963691815.1.fa.gz,fEchVip8.1,Echiichthys vipera,VGP,GCA_963691815.1,fEchVip8.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_041902795.1.fa.gz,ASM4190279v1,Electrophorus electricus,VGP,GCA_041902795.1,ASM4190279v1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_013358815.1.fa.gz,fEleEle1.pri,Electrophorus electricus,VGP,GCF_013358815.1,fEleEle1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_024166365.1.fa.gz,mEleMax1 primary haplotype,Elephas maximus indicus,VGP,GCF_024166365.1,mEleMax1 primary haplotype
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_035609145.1.fa.gz,aEleCoq1.hap1,Eleutherodactylus coqui,VGP,GCF_035609145.1,aEleCoq1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_023053635.1.fa.gz,rElgMul1.1.pri,Elgaria multicarinata webbii,VGP,GCF_023053635.1,rElgMul1.1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_028017835.1.fa.gz,rEmyOrb1.hap1,Emys orbicularis,VGP,GCF_028017835.1,rEmyOrb1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_040894005.1.fa.gz,aEngPut4.maternal,Engystomops pustulosus,VGP,GCF_040894005.1,aEngPut4.maternal
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_043641665.1.fa.gz,fEnoArm2.hap1,Enoplosus armatus,VGP,GCF_043641665.1,fEnoArm2.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_041903045.1.fa.gz,ASM4190304v1,Epinephelus lanceolatus,VGP,GCA_041903045.1,ASM4190304v1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_048129235.1.fa.gz,fEpiMut1.hap1.cur.20240206,Epinephelus rankini,VGP,GCA_048129235.1,fEpiMut1.hap1.cur.20240206
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_027574615.1.fa.gz,DD_ASM_mEF_20220401,Eptesicus fuscus,VGP,GCF_027574615.1,DD_ASM_mEF_20220401
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_036426135.1.fa.gz,mEquCab1.pat,Equus caballus,VGP,GCA_036426135.1,mEquCab1.pat
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_965152235.1.fa.gz,rEreImb1.hap1,Eretmochelys imbricata,VGP,GCA_965152235.1,rEreImb1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_950295315.1.fa.gz,mEriEur2.1,Erinaceus europaeus,VGP,GCF_950295315.1,mEriEur2.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_903797595.2.fa.gz,bEriRub2.2,Erithacus rubecula,VGP,GCA_903797595.2,bEriRub2.2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_900747795.2.fa.gz,fErpCal1.3,Erpetoichthys calabaricus,VGP,GCF_900747795.2,fErpCal1.3
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_031021105.1.fa.gz,rEryReg1.hap1,Erythrolamprus reginae,VGP,GCF_031021105.1,rEryReg1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_028021215.1.fa.gz,mEscRob2.pri,Eschrichtius robustus,VGP,GCF_028021215.1,mEscRob2.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_011004845.1.fa.gz,fEsoLuc1.pri,Esox lucius,VGP,GCF_011004845.1,fEsoLuc1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_028564815.1.fa.gz,mEubGla1.1.hap2.+ XY,Eubalaena glacialis,VGP,GCF_028564815.1,mEubGla1.1.hap2.+ XY
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_028583425.1.fa.gz,MPM_Emac_v1.0,Eublepharis macularius,VGP,GCF_028583425.1,MPM_Emac_v1.0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_047922985.1.fa.gz,bEudEle1_v1.hap1,Eudromia elegans,VGP,GCA_047922985.1,bEudEle1_v1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_029931775.1.fa.gz,rEulEur1.hap1,Euleptes europaea,VGP,GCF_029931775.1,rEulEur1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_963514095.1.fa.gz,fEutGur1.1,Eutrigla gurnardus,VGP,GCA_963514095.1,fEutGur1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_039878825.1.fa.gz,bCotChi1.hap2,Excalfactoria chinensis,VGP,GCA_039878825.1,bCotChi1.hap2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_023638135.1.fa.gz,bFalBia1.pri,Falco biarmicus,VGP,GCF_023638135.1,bFalBia1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_023634085.1.fa.gz,bFalChe1.pri,Falco cherrug,VGP,GCF_023634085.1,bFalChe1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_017639655.2.fa.gz,bFalNau1.pat,Falco naumanni,VGP,GCF_017639655.2,bFalNau1.pat
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_023634155.1.fa.gz,bFalPer1.pri,Falco peregrinus,VGP,GCF_023634155.1,bFalPer1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_963210335.1.fa.gz,bFalPun1.1,Falco punctatus,VGP,GCA_963210335.1,bFalPun1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_015220075.1.fa.gz,bFalRus1.pri,Falco rusticolus,VGP,GCF_015220075.1,bFalRus1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_963513975.1.fa.gz,bFriCoe1.1,Fringilla coelebs,VGP,GCA_963513975.1,bFriCoe1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_037039145.1.fa.gz,fFunDia1.hap1,Fundulus diaphanus,VGP,GCA_037039145.1,fFunDia1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_902167405.1.fa.gz,gadMor3.0,Gadus morhua,VGP,GCF_902167405.1,gadMor3.0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964237585.1.fa.gz,bGalChl1.hap1.1,Gallinula chloropus,VGP,GCA_964237585.1,bGalChl1.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_016700215.2.fa.gz,bGalGal1.pat.whiteleghornlayer.GRCg7w_WZ,Gallus gallus,VGP,GCF_016700215.2,bGalGal1.pat.whiteleghornlayer.GRCg7w_WZ
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964276395.1.fa.gz,fGasAcu3.hap1.1,Gasterosteus aculeatus,VGP,GCA_964276395.1,fGasAcu3.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_030936135.1.fa.gz,bGavSte3.hap2,Gavia stellata,VGP,GCF_030936135.1,bGavSte3.hap2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_009764595.1.fa.gz,bGeoTri1.pri,Geothlypis trichas,VGP,GCA_009764595.1,bGeoTri1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_902459505.2.fa.gz,aGeoSer1.2,Geotrypetes seraphini,VGP,GCA_902459505.2,aGeoSer1.2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_021462225.1.fa.gz,DD_fGirMul_XY1,Girardinichthys multiradiatus,VGP,GCF_021462225.1,DD_fGirMul_XY1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_963455315.2.fa.gz,mGloMel1.2,Globicephala melas,VGP,GCF_963455315.2,mGloMel1.2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_039655065.1.fa.gz,mGloMut1.hap1,Glossophaga mutica,VGP,GCA_039655065.1,mGloMut1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_951799975.1.fa.gz,fGobNig1.1,Gobius niger,VGP,GCA_951799975.1,fGobNig1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_007399415.2.fa.gz,rGopEvg1_v1.p,Gopherus evgoodei,VGP,GCF_007399415.2,rGopEvg1_v1.p
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_025201925.1.fa.gz,rGopFla2.mat.asm,Gopherus flavomarginatus,VGP,GCF_025201925.1,rGopFla2.mat.asm
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_900634775.2.fa.gz,fGouWil2.2,Gouania willdenowi,VGP,GCA_900634775.2,fGouWil2.2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964374135.1.fa.gz,mGraGri1.hap1.1,Grampus griseus,VGP,GCA_964374135.1,mGraGri1.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_028858705.1.fa.gz,bGruAme1.mat,Grus americana,VGP,GCF_028858705.1,bGruAme1.mat
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964106855.1.fa.gz,bGruGru1.hap1.1,Grus grus,VGP,GCA_964106855.1,bGruGru1.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_045345405.1.fa.gz,bGuaGua1 haplotype 1,Guaruba guarouba,VGP,GCA_045345405.1,bGuaGua1 haplotype 1
